brawler,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50,released,star_power_1,gadget_1,star_power_2,gadget_2,hypercharge,buffies
Shelly,C,F,F,A,B,B,B,C,C,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,C,C,F,F,F,F,F,F,S,S,S,S,A,A,B,B,B,B,C,C,D,C,C,C,S,A,06/15/17,12/07/17,03/17/20,06/26/19,09/09/20,09/05/23,12/16/25
Colt,A,S,S,S,S,B,B,B,A,C,B,C,B,C,F,F,F,C,C,F,F,S,B,B,C,C,C,C,D,D,C,C,D,D,B,B,B,B,B,B,C,C,C,C,D,D,F,F,S,A,06/15/17,12/07/17,03/17/20,07/03/19,11/27/20,09/05/23,12/16/25
Nita,B,C,B,B,B,C,A,C,B,B,C,C,B,C,C,B,B,B,B,C,B,A,C,C,C,C,F,F,B,B,B,B,B,B,A,A,B,B,A,A,B,A,B,A,B,C,C,D,D,B,06/15/17,12/07/17,03/17/20,06/26/19,11/13/20,04/23/24,02/25/26
Bull,A,B,F,B,C,C,C,B,B,A,B,B,C,C,B,B,C,B,C,C,C,C,F,F,C,B,C,B,D,D,D,D,D,F,C,A,B,B,C,C,C,D,D,D,F,B,B,B,B,S,06/15/17,12/07/17,03/17/20,07/10/19,10/23/20,09/05/23,02/25/26
Jessie,C,F,C,C,F,B,B,B,B,B,B,F,F,F,F,F,F,F,F,F,C,C,A,C,B,B,C,C,C,D,D,D,C,B,B,B,B,S,A,A,A,B,B,C,D,F,D,F,F,F,06/15/17,12/07/17,03/17/20,08/07/19,08/12/20,10/24/23,
Brock,A,B,A,S,S,S,S,S,A,S,S,S,S,S,A,B,B,A,S,A,S,B,C,S,B,A,B,B,C,A,B,B,B,B,B,B,B,B,B,B,D,C,B,B,C,C,C,B,B,B,06/15/17,12/07/17,03/17/20,07/24/19,11/06/20,04/23/24,
Dynamike,C,F,A,S,A,A,A,B,F,F,C,F,F,C,C,C,F,F,F,F,F,F,F,F,C,C,C,F,F,F,C,A,A,A,B,B,A,A,B,B,A,C,B,B,C,C,D,F,C,B,06/15/17,12/07/17,03/17/20,07/10/19,09/02/20,12/12/23,
Bo,B,B,C,C,B,B,A,C,B,B,A,B,A,S,A,B,B,B,B,C,F,F,F,C,C,F,B,A,B,B,B,B,B,B,B,C,S,A,C,D,C,C,B,B,A,B,B,C,D,A,06/15/17,12/07/17,03/17/20,08/21/19,07/29/20,02/25/25,02/25/26
Poco,C,B,F,B,S,A,S,F,A,F,F,F,C,B,B,C,F,C,B,B,B,B,S,B,B,B,C,C,S,S,A,S,A,B,B,B,C,B,A,B,B,B,B,S,B,B,C,D,C,B,06/15/17,12/07/17,03/17/20,07/24/19,02/12/21,08/27/24,
Barley,B,F,C,A,A,A,A,A,C,A,A,A,A,A,B,B,C,B,B,F,A,B,S,A,B,B,B,B,C,B,C,C,B,B,A,A,B,C,B,A,A,A,B,A,A,A,B,B,B,B,06/15/17,12/07/17,03/17/20,07/17/19,08/26/20,06/25/24,
Rico,A,S,S,S,A,B,B,F,A,A,B,F,B,B,B,B,B,C,F,C,C,B,C,S,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,B,S,06/15/17,12/07/17,03/17/20,07/03/19,07/01/21,06/25/24,
El Primo,B,C,F,F,F,C,C,B,F,B,C,C,C,C,B,B,F,F,C,C,F,F,F,B,F,C,C,C,D,D,D,B,C,B,B,B,D,A,B,C,C,C,C,B,C,C,D,D,F,D,06/15/17,12/07/17,03/17/20,08/14/19,08/19/20,02/27/24,
Mortis,B,F,F,F,B,B,B,C,A,B,B,C,C,B,C,C,C,F,F,C,C,B,B,A,A,B,B,B,C,D,D,F,F,F,B,B,B,C,C,D,S,B,B,B,B,B,C,C,S,A,06/15/17,12/07/17,03/17/20,07/31/19,07/22/20,08/27/24,12/16/25
Crow,S,A,S,S,A,B,A,B,B,F,A,B,B,C,F,C,C,B,C,F,F,F,B,B,A,S,S,A,A,A,S,S,S,S,S,B,A,B,C,A,B,B,B,B,B,B,A,A,A,S,06/15/17,12/07/17,03/17/20,08/21/19,07/08/20,12/12/23,02/25/26
Spike,A,B,B,S,S,S,S,S,S,S,A,B,B,A,A,A,A,A,A,B,S,A,B,S,S,S,A,A,A,A,A,A,B,B,A,S,A,S,B,B,B,B,B,B,B,B,C,C,S,S,06/15/17,12/07/17,03/17/20,07/10/19,07/08/21,09/08/23,12/16/25
Piper,F,F,B,A,B,C,B,C,F,F,F,C,B,C,B,B,B,C,C,C,F,A,A,S,A,A,A,A,B,A,A,B,B,B,S,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,07/03/17,07/03/17,03/17/20,08/14/19,07/15/20,06/25/24,
Pam,F,F,C,C,F,B,B,S,S,S,S,A,A,C,F,F,C,A,S,S,S,A,B,B,A,A,A,B,B,B,B,B,B,B,B,S,A,B,B,B,B,B,B,F,A,B,F,A,A,B,09/04/17,09/04/17,03/17/20,07/24/19,07/28/21,10/28/25,
Tara,B,A,A,A,A,A,A,A,C,C,F,F,F,F,F,C,F,F,B,A,A,B,C,B,A,A,B,B,C,B,C,C,C,A,A,B,B,C,C,C,B,B,B,B,B,B,A,B,A,B,09/04/17,09/04/17,03/17/20,07/17/19,02/05/21,08/27/24,
Darryl,S,A,B,C,F,F,F,A,S,S,B,B,B,B,A,S,S,S,A,B,B,B,C,C,S,A,A,B,B,C,B,B,B,C,B,C,D,C,C,F,S,S,A,A,B,B,B,C,C,C,12/07/17,12/07/17,03/17/20,07/31/19,10/30/20,11/04/24,
Penny,,,,B,C,B,A,C,F,C,C,C,A,B,B,A,A,A,A,B,A,C,C,C,F,F,F,A,A,A,A,S,S,B,C,D,D,C,D,F,B,A,A,A,B,C,C,B,B,C,05/21/18,05/21/18,03/17/20,08/14/19,08/05/20,11/04/24,
Frank,,,,F,C,S,B,F,F,F,C,C,C,F,F,C,C,B,B,B,A,C,C,F,A,B,B,B,B,C,D,D,F,F,F,F,F,F,F,S,A,A,A,A,A,B,B,C,S,A,05/21/18,05/21/18,03/17/20,07/17/19,02/26/21,06/25/24,12/16/25
Leon,,,,,,,,S,S,A,S,A,A,B,F,F,F,C,F,F,F,F,F,S,A,S,A,A,B,B,B,B,B,B,B,B,A,S,B,C,B,C,C,B,B,C,C,C,C,S,12/05/18,12/05/18,03/17/20,07/31/19,07/22/21,12/12/23,02/25/26
Gene,,,,,,,,,,B,S,S,S,S,S,A,A,S,S,A,A,C,B,A,B,B,A,A,A,A,S,S,A,A,A,A,B,A,S,A,A,A,A,A,A,A,A,A,A,A,02/15/19,02/15/19,03/17/20,08/07/19,02/26/21,04/23/24,
Carl,,,,,,,,,,,S,S,S,A,A,S,S,A,A,S,S,B,C,C,C,B,C,S,S,A,A,A,A,A,A,B,C,D,B,C,B,B,B,B,S,B,B,B,B,B,03/22/19,03/22/19,03/17/20,06/26/19,11/06/20,02/25/25,
Rosa,,,,,,,,,,,,S,A,B,A,S,A,A,A,B,A,C,B,C,S,A,B,B,C,C,B,C,C,C,B,S,A,B,B,B,C,C,C,B,F,D,D,F,F,D,04/26/19,04/26/19,03/17/20,07/03/19,02/19/21,10/24/23,
Bibi,,,,,,,,,,,,B,S,S,S,S,C,B,A,B,C,C,B,B,B,C,B,B,B,C,C,C,C,D,D,D,F,A,B,B,C,C,D,C,D,D,C,B,B,S,05/22/19,05/22/19,03/17/20,08/07/19,03/01/22,02/27/24,02/25/26
Tick,,,,,,,,,,,,,,F,A,A,B,B,B,C,F,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,A,B,B,B,B,B,B,D,B,B,06/26/19,06/26/19,03/17/20,08/21/19,02/05/21,04/23/24,
8-Bit,,,,,,,,,,,,,,,S,A,B,B,B,C,B,A,A,B,C,B,A,C,C,C,B,B,C,C,B,A,B,B,B,B,B,B,A,A,B,B,C,D,C,B,08/29/19,08/29/19,03/17/20,,11/27/20,11/04/24,
Sandy,,,,,,,,,,,,,,,S,S,S,A,S,A,A,A,S,S,A,A,A,B,B,B,C,B,B,B,A,A,A,A,S,S,A,B,B,B,B,C,B,B,B,B,09/18/19,09/18/19,03/18/20,10/02/19,07/01/21,04/23/24,
