version,video,date,pros,notes,internal
1,NFF1veqPs_U,02/16/18,13,,
2,ixxNp4l6llc,04/03/18,19,,
3,V6HxFRH-WKg,05/04/18,16,"explicit ranks not given, tiers were determined based on average placement",
4,VhEhN1Zz3Xw,06/13/18,21,"explicit ranks not given, tiers were determined based on average placement",
5,iPiHKQ8Xl9k,07/02/18,17,"explicit ranks not given, tiers were determined based on average placement",
6,3jE8KL3DMU0,09/05/18,20,"explicit ranks not given, tiers were determined based on average placement",
7,3inuSD7fTrM,10/07/18,16,"explicit ranks not given, tiers were determined based on average placement",
8,M_A99bFstQo,12/22/18,16,"brawl stars global release
explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
9,DRGMUUdyzf8,02/08/19,18,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
10,9wfR0sFUod0,03/09/19,23,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
11,s7y9UweRXJ4,04/24/19,14,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
12,jftx0Zeif-c,05/29/19,10,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",date modified to maintain format
13,8ZLbVJ4Hkrg,06/19/19,17,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
14,g_6Ak3QiG-0,08/17/19,14,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
15,xM7_xS_RaBE,10/10/19,11,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
16,SGlNYkNcahM,11/17/19,16,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
17,gnITU-tZ-s4,02/16/20,10,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
18,xoOqpVquC1E,04/13/20,11,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
19,7k3Kbc7ps88,06/03/20,11,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
20,k_4rllQtX7Y,08/07/20,12,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
21,PVs_wBIxYyA,12/02/20,10,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
22,pLU4v5x24q0,01/04/21,24,"explicit ranks given, but for sake of consistency, tiers were remapped from SAB to SABCF",
23,okzI16tkgmU,04/26/21,22,,
24,pHSRUj6S9b8,09/12/21,25,,
25,RQxrmD44MDo,01/22/22,22,,
26,vm7W51vdrQs,03/23/22,18,,
27,-rdvB0AaidE,05/18/22,12,,
28,s5MSj4mBAGk,07/21/22,14,,
29,udEp44FUZ7g,09/12/22,38,added D Tier,
30,09n2284X6po,11/12/22,24,,
31,L_oNLTMuKa8,12/31/22,19,,
32,GMUXKQ2e4ck,03/20/23,13,,
33,PfvMraJ5oTw,05/25/23,22,,
34,yKe4-M26esk,07/21/23,16,,
35,SnVa2nyMKDw,09/26/23,22,,
36,yBSaZ6oDvQc,11/12/23,11,,
37,TaULwuEoqJ4,12/27/23,24,,
38,U8YK3hFeViI,03/13/24,17,,
39,_RRUmoD0i6c,05/15/24,13,,
40,pkExBCpxdMM,07/07/24,11,,
41,O6-IG4J_pqY,09/19/24,25,,
42,og7JoNDxz3I,11/30/24,22,,date modified to maintain format
43,biov5Al2zcc,12/22/24,19,,
44,KFEYPSenALY,03/13/25,23,gadgets were reworked to have infinite uses and cooldowns,
45,mqbt9xaN0gU,05/14/25,18,the hypercharges released this update were not taken into account for this tier list,
46,spA8ZogzX_w,07/13/25,18,,
47,3wGyyjhFnIo,09/25/25,18,,
48,SYh8Xw4nNfo,11/14/25,13,,
49,zORczereG9M,01/10/26,10,,
50,-fokXGGmD5s,03/13/26,8,,
